UserId,P of Cluster_0,P of Cluster_1,P of Cluster_2,Label
-1,0.4179207682609558,0.11722049862146378,0.4648587107658386
127.0,0.4101078,0.115155,0.4747372,2
128.0,0.40548542,0.105728924,0.48878568,2
129.0,0.4173529,0.10516152,0.4774856,2
130.0,0.35832244,0.12980844,0.5118691,2
131.0,0.47676,0.114427626,0.40881237,0
141.0,0.3842531,0.10523288,0.510514,2
132.0,0.3830155,0.10881886,0.50816566,2
151.0,0.46366113,0.1111065,0.42523244,0
152.0,0.38951555,0.10742072,0.50306374,2
183.0,0.43602866,0.113105394,0.45086586,2
186.0,0.40720704,0.103015065,0.4897779,2
134.0,0.45128235,0.114840366,0.43387723,0
147.0,0.46492103,0.14955863,0.38552037,0
156.0,0.408633,0.1176047,0.47376233,2
158.0,0.4530578,0.12173093,0.42521128,0
163.0,0.45891136,0.13623196,0.4048567,0
172.0,0.44837892,0.104843825,0.44677722,0
136.0,0.4260133,0.1066353,0.4673514,2
148.0,0.40396214,0.12140612,0.47463167,2
160.0,0.4184867,0.10702797,0.47448525,2
164.0,0.44487527,0.12955722,0.42556757,0
165.0,0.4425525,0.12715906,0.43028837,0
176.0,0.43456975,0.13124076,0.4341895,0
137.0,0.43853697,0.120807536,0.4406555,2
146.0,0.42370787,0.117464416,0.45882773,2
159.0,0.4020818,0.1312853,0.466633,2
161.0,0.38250765,0.111805126,0.50568724,2
175.0,0.43390244,0.11006208,0.4560355,2
138.0,0.4112898,0.1298685,0.45884168,2
145.0,0.3919854,0.097485416,0.51052916,2
149.0,0.48741347,0.13368872,0.3788978,0
154.0,0.40358436,0.10867648,0.48773915,2
157.0,0.38489696,0.11078747,0.50431556,2
139.0,0.37260658,0.12825017,0.49914318,2
155.0,0.42296764,0.11487291,0.4621594,2
179.0,0.3904842,0.13406505,0.47545075,2
142.0,0.39801976,0.1258709,0.47610936,2
170.0,0.3680019,0.112415515,0.51958257,2
180.0,0.4020818,0.1312853,0.466633,2
184.0,0.45938,0.11120978,0.42941025,0
185.0,0.43957207,0.12391682,0.43651113,0
187.0,0.38057867,0.10147046,0.51795083,2
150.0,0.43341973,0.11472912,0.45185113,2
166.0,0.3788251,0.11877282,0.50240207,2
182.0,0.41323704,0.09931465,0.48744825,2
