QuestionId,AvgDeviation
37,1.0666666666666667
38,0.9111111111111111
46,0.8222222222222222
48,1.9333333333333333
47,2.1333333333333333
35,0.6666666666666666
49,2.577777777777778
5,0.35555555555555557
6,1.9333333333333333
31,0.8888888888888888
33,1.1777777777777778
52,1.1777777777777778
7,1.511111111111111
8,2.577777777777778
9,2.6
32,0.5777777777777777
10,0.6888888888888889
11,3.488888888888889
12,1.7333333333333334
13,0.4444444444444444
14,0.7777777777777778
15,2.311111111111111
16,0.9111111111111111
17,0.6666666666666666
21,0.6888888888888889
22,0.8222222222222222
39,1.5777777777777777
42,2.2444444444444445
43,1.4
44,1.4222222222222223
40,0.28888888888888886
41,2.1777777777777776
45,1.8444444444444446
51,0.7333333333333333
