themeId,clipId,clipQuestionsIds,ambiguitySeverityBaselines
0,24,"[37, 38]","[[4, 1, 2], [4, 1, 2]]"
1,25,"[46, 48, 47, 35, 49]","[[4, 1, 1], [4, 1, 1], [4, 1, 1], [4, 1, 1], [4, 1, 6]]"
2,15,"[5, 6, 31, 33, 52]","[[4, 1, 1], [4, 1, 7], [4, 1, 3], [4, 1, 4], [4, 1, 1]]"
3,21,"[7, 8, 9, 32]","[[4, 1, 1], [4, 1, 1], [4, 1, 6], [4, 1, 3]]"
4,17,"[10, 11, 12]","[[4, 1, 2], [4, 1, 2], [4, 1, 7]]"
5,18,[13],"[[4, 1, 3]]"
6,19,"[14, 15]","[[4, 1, 2], [4, 1, 7]]"
7,22,"[16, 17]","[[4, 1, 4], [4, 1, 2]]"
8,9,"[21, 22]","[[4, 1, 2], [4, 1, 2]]"
9,26,[39],"[[4, 1, 6]]"
10,23,"[42, 43, 44]","[[4, 1, 4], [4, 1, 3], [4, 1, 4]]"
11,27,"[40, 41]","[[4, 1, 1], [4, 1, 1]]"
12,29,[45],"[[4, 1, 4]]"
13,11,[51],"[[4, 1, 1]]"
